HREKG,PRESS,ARTCO2,MINVOL,VENTALV,HRBP,INTUBATION,CVP,LVEDVOLUME,PULMEMBOLUS,EXPCO2,FIO2,INSUFFANESTH,HRSAT,SAO2,DISCONNECT,TPR,CATECHOL,LVFAILURE,ANAPHYLAXIS,PVSAT,STROKEVOLUME,VENTLUNG,MINVOLSET,VENTTUBE,ERRCAUTER,HYPOVOLEMIA,ERRLOWOUTPUT,BP,KINKEDTUBE,PCWP,HR,HISTORY,PAP,VENTMACH,SHUNT,CO
HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,ZERO,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,NORMAL,HIGH
HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL,FALSE,HIGH,NORMAL,FALSE,HIGH,LOW,TRUE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,HIGH,NORMAL,NORMAL,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,LOW,LOW,NORMAL,ZERO,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,NORMAL,LOW
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,LOW,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,ZERO,LOW,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,TRUE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,ZERO,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,TRUE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,LOW,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,TRUE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,LOW
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,ZERO,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,NORMAL,LOW
LOW,HIGH,HIGH,ZERO,LOW,LOW,ONESIDED,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,LOW,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,HIGH,NORMAL
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,ZERO,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,LOW,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,LOW,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,HIGH,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,LOW,HIGH,FALSE,HIGH,NORMAL,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,ZERO,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,NORMAL,FALSE,NORMAL,ZERO,NORMAL,NORMAL
HIGH,HIGH,HIGH,ZERO,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,TRUE,HIGH,FALSE,LOW,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,HIGH,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,TRUE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,ZERO,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,TRUE,HIGH,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,NORMAL,LOW,HIGH,HIGH,FALSE,TRUE,FALSE,HIGH,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH
NORMAL,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,TRUE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,TRUE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,LOW
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,HIGH,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
LOW,HIGH,HIGH,ZERO,ZERO,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,TRUE,FALSE,FALSE,NORMAL,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,HIGH,HIGH,HIGH,LOW,HIGH,ONESIDED,HIGH,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,HIGH,NORMAL,HIGH,FALSE,FALSE,FALSE,NORMAL,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,HIGH,HIGH
LOW,HIGH,HIGH,ZERO,ZERO,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,NORMAL,FALSE,FALSE,NORMAL,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,ZERO,LOW,HIGH,HIGH,HIGH,ESOPHAGEAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,TRUE,LOW,HIGH,FALSE,FALSE,HIGH,NORMAL,NORMAL,HIGH,NORMAL,TRUE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,TRUE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,LOW
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,HIGH,HIGH
LOW,NORMAL,LOW,ZERO,HIGH,LOW,ESOPHAGEAL,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,FALSE,LOW,HIGH,FALSE,HIGH,NORMAL,FALSE,FALSE,HIGH,NORMAL,NORMAL,HIGH,HIGH,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,TRUE,LOW,LOW,FALSE,HIGH,NORMAL,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,TRUE,FALSE,TRUE,HIGH,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
LOW,LOW,HIGH,ZERO,ZERO,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,LOW,FALSE,LOW,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,TRUE,NORMAL,HIGH,TRUE,FALSE,HIGH,LOW,LOW,NORMAL,ZERO,FALSE,FALSE,FALSE,LOW,FALSE,LOW,HIGH,TRUE,NORMAL,ZERO,NORMAL,LOW
NORMAL,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,TRUE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,TRUE,TRUE,FALSE,HIGH,FALSE,LOW,HIGH,FALSE,LOW,NORMAL,NORMAL,NORMAL
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,HIGH,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,NORMAL,NORMAL,LOW,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,TRUE,NORMAL,FALSE,NORMAL,HIGH,FALSE,LOW,NORMAL,NORMAL,HIGH
LOW,LOW,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,FALSE,FALSE,HIGH,HIGH,LOW,NORMAL,HIGH,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,LOW,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,HIGH,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,NORMAL,FALSE,ZERO,LOW,FALSE,NORMAL,NORMAL,FALSE,LOW,HIGH,FALSE,FALSE,NORMAL,NORMAL,ZERO,NORMAL,LOW,TRUE,FALSE,FALSE,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,LOW,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,LOW,LOW,LOW,ZERO,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,NORMAL,FALSE,NORMAL,LOW,NORMAL,LOW
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,HIGH,LOW
LOW,NORMAL,HIGH,ZERO,ZERO,LOW,NORMAL,LOW,NORMAL,FALSE,ZERO,NORMAL,FALSE,LOW,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,NORMAL,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,NORMAL,FALSE,HIGH,HIGH,FALSE,LOW,NORMAL,NORMAL,NORMAL
HIGH,HIGH,HIGH,ZERO,ZERO,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,NORMAL,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,HIGH,NORMAL,LOW,HIGH,ONESIDED,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,TRUE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,ZERO,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,HIGH,HIGH
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,LOW,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,NORMAL,LOW,NORMAL,ZERO,FALSE,FALSE,FALSE,LOW,FALSE,NORMAL,NORMAL,FALSE,NORMAL,ZERO,NORMAL,NORMAL
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,NORMAL,HIGH,HIGH,ZERO,HIGH,NORMAL,LOW,LOW,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,TRUE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,TRUE,NORMAL,NORMAL,NORMAL,LOW
HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL,FALSE,HIGH,NORMAL,FALSE,HIGH,LOW,TRUE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,HIGH,HIGH,NORMAL,FALSE,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH
HIGH,LOW,HIGH,ZERO,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,NORMAL,TRUE,LOW,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,ZERO,NORMAL,LOW,FALSE,FALSE,FALSE,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,FALSE,HIGH,LOW,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,TRUE,FALSE,LOW,LOW,HIGH,NORMAL,LOW,FALSE,FALSE,FALSE,LOW,FALSE,LOW,HIGH,TRUE,NORMAL,NORMAL,NORMAL,LOW
HIGH,HIGH,HIGH,ZERO,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,FALSE,FALSE,LOW,LOW,ZERO,NORMAL,LOW,FALSE,TRUE,FALSE,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,HIGH,LOW,ZERO,HIGH,LOW,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,NORMAL,HIGH,FALSE,HIGH,NORMAL,FALSE,FALSE,HIGH,NORMAL,LOW,LOW,ZERO,TRUE,TRUE,FALSE,HIGH,FALSE,HIGH,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL
